Silva Dormitory,1,1,1,1,1,1
Dormitorio De Amadeo,0,1,0,0,0,0
Briones Boarding House,0,0,0,0,0,0
Abergas Boarding House,1,1,0,0,0,0
Duhaylungosod Boarding House,1,1,1,1,1,1
Tatays Mars Dormitory,1,1,1,1,1,1
Dodz Boarding House,1,1,1,1,1,1
Bauzon Boarding House,1,1,0,0,0,0
Dream at Bethel Dormitory,1,1,1,1,0,1
Tulang's Boarding House,1,1,1,1,1,1
A.P.P UPAD Dormitory,1,1,1,1,0,0
Pink House,1,1,1,1,0,0
Tenshi Apartment,1,1,1,1,1,1
Casa Marias Mintal Apartment,1,1,1,0,0,1
Shepherd Boarding House,0,1,0,0,0,0
